,CustomerID,churn_prob
4418,8950-MTZNV,0.5035625759002329
4463,8710-YGLWG,0.5035588179677595
5510,8180-AKMJV,0.5035325124292104
6214,0082-LDZUE,0.5035137227468363
3246,3961-SXAXY,0.5034949330545376
6189,9214-EKVXR,0.5034911751148915
3199,6650-VJONK,0.5034799012935884
7036,8456-QDAVC,0.5026632319024428
2851,7537-RBWEA,0.5020744075546394
6284,4367-NHWMM,0.5020556172598355
6738,9979-RGMZT,0.5017643404176229
2420,1173-NOEYG,0.5011067658455065
7027,1035-IPQPU,0.500883818956443
4663,4280-DLSHD,0.49974666214230784
4039,3352-ALMCK,0.49973744983048074
2547,7508-SMHXL,0.4989744896698739
6251,6859-RKMZJ,0.49853772654985645
4707,6710-HSJRD,0.4984035084287055
3922,5533-NHFRF,0.498246740869223
6132,7233-DRTRF,0.49822683430420783
7006,0376-OIWME,0.498158475430771
2732,7129-ACFOG,0.4981445560406999
3074,2988-PLAHS,0.49764071167704643
4643,0430-IHCDJ,0.4973724442423273
5749,8486-AYEQH,0.497302680374135
4892,3345-PBBFH,0.4958082473569932
3208,2085-BOJKI,0.49544256363814804
7022,1471-GIQKQ,0.49463190754841724
2621,4065-JJAVA,0.49459808836409824
3316,3737-XBQDD,0.49456752819607275
5206,9518-XXBXE,0.494474980801197
4525,6185-TASNN,0.49435759783050764
4173,6692-YQHXC,0.49430426189795895
3556,4706-DGAHW,0.4942749298069852
3866,1942-OQFRW,0.4941847468657752
4772,8720-RQSBJ,0.4941847468657752
3072,1478-VPOAD,0.49416971641220503
5337,5365-LLFYV,0.49340881344972404
5928,6693-FRIRW,0.4933723370565967
2758,7126-RBHSD,0.493306365907523
3207,2070-XYMFH,0.49323334993665563
2028,4195-NZGTA,0.4927756912729997
2797,9992-UJOEL,0.4924431694509712
4451,5968-VXZLG,0.4920787188629878
4953,4553-DVPZG,0.49194369845393154
4488,6212-ATMLK,0.4916020612280297
3583,4238-JSSWH,0.4914891903211811
2573,7567-ECMCM,0.4914527533797806
4657,1469-LBJQJ,0.491129395087037
6479,3278-FSIXX,0.4910492866336794
2612,3234-VKACU,0.49093804796633606
5297,1230-QAJDW,0.4908797254657213
5368,3088-LHEFH,0.490307797511928
2447,5175-WLYXL,0.4902800328198002
6135,7048-GXDAY,0.4902660778791397
4666,2800-QQUSO,0.49024440788454
5583,3955-JBZZM,0.489633939428546
4249,5960-MVTUK,0.48934225178843743
6384,9638-JIQYA,0.48920852613972904
4459,1335-NTIUC,0.48905394237246796
4741,9278-VZKCD,0.4888498688785671
7020,9053-EJUNL,0.48748441891446953
2015,2604-IJPDU,0.4874712483926185
6125,1818-ESQMW,0.4873760232542008
3081,9469-WEJBT,0.48713491280502347
6619,9529-OFXHY,0.48570819650206337
4312,5144-TVGLP,0.4856500659209819
3134,5515-RUGKN,0.4851823149747793
3551,1465-LNTLJ,0.4840532935783626
2629,7460-ITWWP,0.48363676677099027
4352,1855-AGAWH,0.4833260512848579
6775,3798-EPWRR,0.48256792205158483
6065,4537-DKTAL,0.4825153724741439
6542,2347-WKKAE,0.4824860442550666
5214,1100-DDVRV,0.48247875613927593
4581,2587-EKXTS,0.48243760890922704
4119,1728-BQDMA,0.4823877536841644
4504,2227-JRSJX,0.4820082569654021
4279,9620-ENEJV,0.48187078656563104
3459,6635-CPNUN,0.48168778468276857
4297,7586-ZATGZ,0.48140573781990087
6998,5568-DMXZS,0.4809108394104411
3153,0106-GHRQR,0.4802465599006458
2056,0221-WMXNQ,0.48011966084171276
3882,4236-UJPWO,0.4796632923574589
5840,3137-LUPIX,0.4794170466808311
